,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
133,tt2245084,Big Hero 6,Don Hall,Scott Adsit,2014,N/A,PG,7.8,"393,016",74
134,tt3183660,Fantastic Beasts and Where to Find Them,David Yates,Eddie Redmayne,2016,N/A,PG-13,7.3,"389,633",66
135,tt0398286,Tangled,Nathan Greno,Mandy Moore,2010,"$200,803,309",PG,7.7,"390,220",71
136,tt1723121,We're the Millers,Rawson Marshall Thurber,Jennifer Aniston,2013,"$144,900,000",R,7.0,"389,001",44
137,tt2980516,The Theory of Everything,James Marsh,Eddie Redmayne,2014,"$35,887,263",PG-13,7.7,"383,698",72
138,tt6644200,A Quiet Place,John Krasinski,Emily Blunt,2018,N/A,PG-13,7.5,"379,472",82
139,tt3385516,X-Men: Apocalypse,Bryan Singer,James McAvoy,2016,"$135,729,385",PG-13,6.9,"377,645",52
140,tt1399103,Transformers: Dark of the Moon,Michael Bay,Shia LaBeouf,2011,"$352,358,779",PG-13,6.2,"376,258",42
141,tt1245492,This Is the End,Evan Goldberg,James Franco,2013,"$96,200,000",R,6.6,"373,189",67
142,tt1605783,Midnight in Paris,Woody Allen,Owen Wilson,2011,"$55,400,000",PG-13,7.7,"371,082",81
143,tt1014759,Alice in Wonderland,Tim Burton,Johnny Depp,2010,"$319,323,000",PG,6.4,"371,772",53
144,tt2379713,Spectre,Sam Mendes,Daniel Craig,2015,"$208,777,731",PG-13,6.8,"369,275",60
145,tt0831387,Godzilla,Gareth Edwards,Aaron Taylor-Johnson,2014,"$172,962,996",PG-13,6.4,"366,220",62
146,tt1772341,Wreck-It Ralph,Rich Moore,John C. Reilly,2012,"$189,412,677",PG,7.7,"365,043",72
147,tt0974015,Justice League,Zack Snyder,Ben Affleck,2017,N/A,PG-13,6.4,"359,478",45
148,tt1259521,The Cabin in the Woods,Drew Goddard,Kristen Connolly,2011,"$42,043,633",R,7.0,"356,988",72
149,tt0446029,Scott Pilgrim vs. the World,Edgar Wright,Michael Cera,2010,"$31,494,270",PG-13,7.5,"358,530",69
150,tt1637688,In Time,Andrew Niccol,Justin Timberlake,2011,"$35,900,000",PG-13,6.7,"357,846",53
151,tt1905041,Fast & Furious 6,Justin Lin,Vin Diesel,2013,"$238,700,000",PG-13,7.1,"358,271",61
152,tt1217209,Brave,Mark Andrews,Kelly Macdonald,2012,"$237,282,182",PG,7.1,"357,239",69
153,tt1690953,Despicable Me 2,Pierre Coffin,Steve Carell,2013,"$368,049,635",PG,7.3,"357,881",62
154,tt3397884,Sicario,Denis Villeneuve,Emily Blunt,2015,N/A,R,7.6,"350,799",82
155,tt2820852,Furious 7,James Wan,Vin Diesel,2015,"$316,986,481",PG-13,7.2,"347,783",67
