,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
0,tt1375666,Inception,Christopher Nolan,Leonardo DiCaprio,2010,292568851.0,PG-13,8.8,1953512.0,74.0
1,tt1345836,The Dark Knight Rises,Christopher Nolan,Christian Bale,2012,448130642.0,PG-13,8.4,1454342.0,78.0
2,tt0816692,Interstellar,Christopher Nolan,Ellen Burstyn,2014,158737441.0,PG-13,8.6,1413039.0,74.0
3,tt1853728,Django Unchained,Quentin Tarantino,Jamie Foxx,2012,162804648.0,R,8.4,1282957.0,81.0
4,tt0848228,The Avengers,Joss Whedon,Robert Downey Jr.,2012,623279547.0,PG-13,8.0,1225316.0,69.0
5,tt0993846,The Wolf of Wall Street,Martin Scorsese,Leonardo DiCaprio,2013,91330760.0,R,8.2,1107316.0,75.0
6,tt1130884,Shutter Island,Martin Scorsese,Leonardo DiCaprio,2010,125001000.0,R,8.1,1071216.0,63.0
7,tt2015381,Guardians of the Galaxy,James Gunn,Chris Pratt,2014,270592504.0,PG-13,8.0,1007917.0,76.0
8,tt1431045,Deadpool,Tim Miller,Ryan Reynolds,2016,328674489.0,R,8.0,870878.0,65.0
9,tt1392190,Mad Max: Fury Road,George Miller,Tom Hardy,2015,129483877.0,R,8.1,836341.0,90.0
10,tt2488496,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,Harrison Ford,2015,936658640.0,PG-13,7.9,833706.0,80.0
11,tt1392170,The Hunger Games,Gary Ross,Stanley Tucci,2012,407981652.0,PG-13,7.2,818687.0,68.0
12,tt4154756,Avengers: Infinity War,Anthony Russo,Robert Downey Jr.,2018,664987816.0,PG-13,8.5,766327.0,68.0
13,tt1454468,Gravity,Alfonso Cuarón,Sandra Bullock,2013,274084951.0,PG-13,7.7,746227.0,96.0
14,tt0903624,The Hobbit: An Unexpected Journey,Peter Jackson,Ian McKellen,2012,303001229.0,PG-13,7.8,739319.0,58.0
15,tt1201607,Harry Potter and the Deathly Hallows: Part 2,David Yates,Ralph Fiennes,2011,381000185.0,PG-13,8.1,730224.0,85.0
16,tt0435761,Toy Story 3,Lee Unkrich,Tom Hanks,2010,414984497.0,G,8.3,729086.0,92.0
17,tt3659388,The Martian,Ridley Scott,Matt Damon,2015,202313768.0,PG-13,8.0,723614.0,80.0
18,tt1675434,The Intouchables,Olivier Nakache,François Cluzet,2011,13179837.0,R,8.5,725135.0,57.0
19,tt0800369,Thor,Kenneth Branagh,Chris Hemsworth,2011,181015141.0,PG-13,7.0,717145.0,57.0
20,tt2395427,Avengers: Age of Ultron,Joss Whedon,Robert Downey Jr.,2015,429113729.0,PG-13,7.3,711205.0,66.0
21,tt1843866,Captain America: The Winter Soldier,Anthony Russo,Chris Evans,2014,228636083.0,PG-13,7.7,706555.0,70.0
22,tt1228705,Iron Man 2,Jon Favreau,Robert Downey Jr.,2010,312057433.0,PG-13,7.0,693517.0,57.0
23,tt0947798,Black Swan,Darren Aronofsky,Natalie Portman,2010,106952327.0,R,8.0,675757.0,79.0
24,tt2278388,The Grand Budapest Hotel,Wes Anderson,Ralph Fiennes,2014,56939515.0,R,8.1,673301.0,88.0
25,tt0770828,Man of Steel,Zack Snyder,Henry Cavill,2013,291021565.0,PG-13,7.0,671513.0,55.0
26,tt1045658,Silver Linings Playbook,David O. Russell,Bradley Cooper,2012,132088910.0,R,7.7,641736.0,81.0
27,tt1877832,X-Men: Days of Future Past,Bryan Singer,Hugh Jackman,2014,199305306.0,PG-13,8.0,643180.0,75.0
28,tt0892769,How to Train Your Dragon,Dean DeBlois,Jay Baruchel,2010,216900000.0,PG,8.1,641989.0,75.0
29,tt3498820,Captain America: Civil War,Anthony Russo,Chris Evans,2016,408080554.0,PG-13,7.8,628016.0,75.0
30,tt1504320,The King's Speech,Tom Hooper,Colin Firth,2010,138300000.0,R,8.0,620382.0,88.0
31,tt1074638,Skyfall,Sam Mendes,Daniel Craig,2012,299300000.0,PG-13,7.7,613182.0,81.0
32,tt2024544,12 Years a Slave,Steve McQueen,Chiwetel Ejiofor,2013,50628650.0,R,8.1,613932.0,96.0
33,tt1285016,The Social Network,David Fincher,Jesse Eisenberg,2010,96400000.0,PG-13,7.7,595251.0,95.0
34,tt1951264,The Hunger Games: Catching Fire,Francis Lawrence,Jennifer Lawrence,2013,336663349.0,PG-13,7.5,594275.0,76.0
35,tt1170358,The Hobbit: The Desolation of Smaug,Peter Jackson,Ian McKellen,2013,180443783.0,PG-13,7.8,584249.0,66.0
36,tt0816711,World War Z,Marc Forster,Brad Pitt,2013,202351611.0,PG-13,7.0,579584.0,63.0
37,tt2096673,Inside Out,Pete Docter,Amy Poehler,2015,264317903.0,PG,8.2,577209.0,94.0
38,tt1670345,Now You See Me,Louis Leterrier,Jesse Eisenberg,2013,117698894.0,PG-13,7.3,575712.0,50.0
39,tt1386697,Suicide Squad,David Ayer,Will Smith,2016,325021779.0,PG-13,6.0,574315.0,40.0
40,tt1631867,Edge of Tomorrow,Doug Liman,Tom Cruise,2014,77121429.0,PG-13,7.9,575314.0,71.0
41,tt1981115,Thor: The Dark World,Alan Taylor,Chris Hemsworth,2013,206360018.0,PG-13,6.9,571192.0,54.0
42,tt2802144,Kingsman: The Secret Service,Matthew Vaughn,Adrian Quinton,2014,119469511.0,R,7.7,569742.0,60.0
43,tt1392214,Prisoners,Denis Villeneuve,Hugh Jackman,2013,60962878.0,R,8.1,563795.0,70.0
44,tt0454876,Life of Pi,Ang Lee,Suraj Sharma,2012,103500000.0,PG,7.9,560570.0,79.0
45,tt2543164,Arrival,Denis Villeneuve,Amy Adams,2016,100501349.0,PG-13,7.9,559093.0,81.0
46,tt0369610,Jurassic World,Colin Trevorrow,Chris Pratt,2015,528757749.0,PG-13,7.0,560612.0,59.0
47,tt1024648,Argo,Ben Affleck,Ben Affleck,2012,136019448.0,R,7.7,556890.0,86.0
48,tt1637725,Ted,Seth MacFarlane,Mark Wahlberg,2012,218100000.0,R,6.9,555534.0,62.0
49,tt1446714,Prometheus,Ridley Scott,Noomi Rapace,2012,126464904.0,R,7.0,554320.0,64.0
50,tt2294629,Frozen,Chris Buck,Kristen Bell,2013,400736600.0,PG,7.5,551637.0,75.0
51,tt0780504,Drive,Nicolas Winding Refn,Ryan Gosling,2011,34300000.0,R,7.8,549955.0,78.0
52,tt0948470,The Amazing Spider-Man,Marc Webb,Andrew Garfield,2012,262030663.0,PG-13,6.9,543434.0,66.0
53,tt0478970,Ant-Man,Peyton Reed,Paul Rudd,2015,138002223.0,PG-13,7.3,540523.0,64.0
54,tt2527336,Star Wars: Episode VIII - The Last Jedi,Rian Johnson,Mark Hamill,2017,619117636.0,PG-13,7.0,532835.0,85.0
55,tt1276104,Looper,Rian Johnson,Joseph Gordon-Levitt,2012,66305045.0,R,7.4,519012.0,84.0
56,tt1250777,Kick-Ass,Matthew Vaughn,Aaron Taylor-Johnson,2010,20000000.0,R,7.6,513537.0,66.0
57,tt1219289,Limitless,Neil Burger,Bradley Cooper,2011,79230923.0,PG-13,7.4,511865.0,59.0
58,tt1798709,Her,Spike Jonze,Joaquin Phoenix,2013,17901029.0,R,8.0,510311.0,90.0
59,tt1232829,21 Jump Street,Phil Lord,Jonah Hill,2012,134000000.0,R,7.2,494267.0,69.0
60,tt3460252,The Hateful Eight,Quentin Tarantino,Samuel L. Jackson,2015,54116191.0,R,7.8,484384.0,68.0
61,tt1318514,Rise of the Planet of the Apes,Rupert Wyatt,Andy Serkis,2011,175300000.0,PG-13,7.6,485801.0,68.0
62,tt1323594,Despicable Me,Pierre Coffin,Steve Carell,2010,251476985.0,PG,7.6,484778.0,72.0
63,tt2250912,Spider-Man: Homecoming,Jon Watts,Tom Holland,2017,334166825.0,PG-13,7.4,478341.0,73.0
64,tt1483013,Oblivion,Joseph Kosinski,Tom Cruise,2013,89021735.0,PG-13,7.0,471533.0,54.0
65,tt0945513,Source Code,Duncan Jones,Jake Gyllenhaal,2011,54696902.0,PG-13,7.5,469329.0,74.0
66,tt1298650,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Johnny Depp,2011,241063875.0,PG-13,6.6,465510.0,45.0
67,tt1343092,The Great Gatsby,Baz Luhrmann,Lisa Adam,2013,144812796.0,PG-13,7.2,456854.0,55.0
68,tt2310332,The Hobbit: The Battle of the Five Armies,Peter Jackson,Ian McKellen,2014,187747747.0,PG-13,7.4,456504.0,59.0
69,tt1570728,"Crazy, Stupid, Love.",Glenn Ficarra,Steve Carell,2011,83300000.0,PG-13,7.4,454881.0,68.0
70,tt1663662,Pacific Rim,Guillermo del Toro,Charlie Hunnam,2013,101785482.0,PG-13,6.9,454815.0,65.0
71,tt1408101,Star Trek Into Darkness,J.J. Abrams,Chris Pine,2013,228756232.0,PG-13,7.7,454690.0,72.0
72,tt0926084,Harry Potter and the Deathly Hallows: Part 1,David Yates,Bill Nighy,2010,294980434.0,PG-13,7.7,453697.0,65.0
73,tt0470752,Ex Machina,Alex Garland,Domhnall Gleeson,2014,19012798.0,R,7.7,448743.0,78.0
